classification,database,major,access_location
senior,American Indian Movement And Native American Radicalism,"2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services",off campus
junior,Music Online:  Popular Music Library,"5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services",off campus
freshman,ERIC (ProQuest),"6210,INTERNATIONAL BUSINESS,Business",on campus
junior,RIPM Retrospective Index to Music Periodicals with Online Archive,"3608,PHYSIOLOGY,Biology & Life Science",on campus
senior,University of Washington Music Library Digital Scores Collection,"5003,CHEMISTRY,Physical Sciences",on campus
sophomore,American Indian Histories and Cultures ,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",on campus
faculty,Music and Performing Arts from Alexander Street,"1903,MASS MEDIA,Communications & Journalism",on campus
faculty,Ethnographic Video Online,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
junior,ASTM Compass,"3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy",off campus
sophomore,Play Index (H.W. Wilson),"5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts",off campus
doctorate,Music Online:  Popular Music Library,"2399,MISCELLANEOUS EDUCATION,Education",on campus
faculty,Los Angeles Times,"1903,MASS MEDIA,Communications & Journalism",on campus
senior,EconPapers,"5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work",on campus
graduate,American Indian Movement And Native American Radicalism,"6110,COMMUNITY AND PUBLIC HEALTH,Health",on campus
senior,ERIC (EBSCO),"2407,COMPUTER ENGINEERING,Engineering",on campus
graduate,ASTM Compass,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",on campus
doctorate,University of Washington Music Library Digital Scores Collection,"5500,GENERAL SOCIAL SCIENCES,Social Science",on campus
senior,E-Codices: Virtual Manuscript Library of Switzerland,"6107,NURSING,Health",off campus
freshman,Migration to New Worlds,"5501,ECONOMICS,Social Science",off campus
doctorate,PsychiatryOnline,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
sophomore,Apartheid South Africa,"1106,SOIL SCIENCE,Agriculture & Natural Resources",off campus
faculty,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","1401,ARCHITECTURE,Engineering",on campus
junior,General Reference Center Gold,"2414,MECHANICAL ENGINEERING,Engineering",on campus
junior,ABI/INFORM Global,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",on campus
graduate,Medieval Travel Writing,"3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services",off campus
senior,Music Online:  Listening,"2399,MISCELLANEOUS EDUCATION,Education",off campus
senior,Urban Institute,"2102,COMPUTER SCIENCE,Computers & Mathematics",on campus
sophomore,INFORMS PubsOnLine,"2499,MISCELLANEOUS ENGINEERING,Engineering",on campus
junior,IEEE Xplore Digital Library,"6202,ACTUARIAL SCIENCE,Business",off campus
senior,Sheldon Harris Sheet Music Collection,"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",off campus
senior,Academic Video Online,"6099,MISCELLANEOUS FINE ARTS,Arts",on campus
faculty,"Nixon Years, 1969-1974","6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business",off campus
junior,Humanities International Index,"1301,ENVIRONMENTAL SCIENCE,Biology & Life Science",off campus
graduate,DRAM: Database of Recorded American Music,"6402,HISTORY,Humanities & Liberal Arts",on campus
faculty,Feature Films for Education ,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",on campus
faculty,European Views of the Americas: 1493 to 1750,"4002,NUTRITION SCIENCES,Health",on campus
faculty,Gale OneFile: Educator's Reference,"5401,PUBLIC ADMINISTRATION,Law & Public Policy",off campus
senior,Lippincott Health Library,"2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education",on campus
freshman,EconPapers,"3699,MISCELLANEOUS BIOLOGY,Biology & Life Science",on campus
senior,SEPM (Society for Sedimentary Geology) Publications,"6402,HISTORY,Humanities & Liberal Arts",off campus
faculty,Naxos Music Library,"2414,MECHANICAL ENGINEERING,Engineering",off campus
sophomore,ARTFL: Provencal Poetry Database,"5701,""ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"",Industrial Arts & Consumer Services",off campus
graduate,DOE OpenNet,"5507,SOCIOLOGY,Social Science",on campus
doctorate,Humanities International Index,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",off campus
faculty,Sheldon Harris Sheet Music Collection,"2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education",off campus
faculty,Oxford Bibliographies Online: Philosophy,"5507,SOCIOLOGY,Social Science",on campus
doctorate,PsychiatryOnline,"5503,CRIMINOLOGY,Social Science",on campus
faculty,Gale OneFile: Environmental Studies,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",on campus
freshman,Trans-Atlantic Slave Trade Database,"6200,GENERAL BUSINESS,Business",on campus
sophomore,title,"1401,ARCHITECTURE,Engineering",on campus
doctorate,Sheldon Harris Sheet Music Collection,"5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",off campus
faculty,National Science Foundation Awards Database,"6403,UNITED STATES HISTORY,Humanities & Liberal Arts",off campus
freshman,Sheldon Harris Sheet Music Collection,"5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts",on campus
freshman,Humanities International Index,"6402,HISTORY,Humanities & Liberal Arts",off campus
graduate,RIPM Retrospective Index to Music Periodicals with Online Archive,"2418,NUCLEAR ENGINEERING,Engineering",on campus
sophomore,CultureGrams,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",off campus
freshman,DRAM: Database of Recorded American Music,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",off campus
sophomore,Lippincott Health Library,"5504,GEOGRAPHY,Social Science",on campus
freshman,Music Online:  Listening,"3201,COURT REPORTING,Law & Public Policy",on campus
freshman,General Reference Center Gold,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",off campus
senior,Healthcare Administration Database (ProQuest),"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
graduate,Victorian Popular Culture,"2415,METALLURGICAL ENGINEERING,Engineering",on campus
faculty,ABI/INFORM Global,"4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts",on campus
sophomore,Virtual Music Rare Book Room,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",off campus
junior,CultureGrams,"5008,MATERIALS SCIENCE,Engineering",off campus
junior,Ambrose Video,"2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts",off campus
senior,UlrichsWeb Global Serials Directory,"2304,ELEMENTARY EDUCATION,Education",on campus
sophomore,Ethnographic Video Online,"3606,MICROBIOLOGY,Biology & Life Science",off campus
senior,Migration to New Worlds,"1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts",off campus
faculty,INFORMS PubsOnLine,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",off campus
doctorate,CIA World Factbook,"6001,DRAMA AND THEATER ARTS,Arts",off campus
senior,Dance Online:  Dance in Video,"1100,GENERAL AGRICULTURE,Agriculture & Natural Resources",on campus
junior,United Nations Treaty Collection,"2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering",off campus
sophomore,ERIC (EBSCO),"2419,PETROLEUM ENGINEERING,Engineering",off campus
senior,Humanities International Index,"2309,SECONDARY TEACHER EDUCATION,Education",off campus
doctorate,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts",on campus
freshman,Literature Criticism Online,"1103,ANIMAL SCIENCES,Agriculture & Natural Resources",off campus
doctorate,National Theatre Collection 1 and 2,"1302,FORESTRY,Agriculture & Natural Resources",off campus
freshman,"Caribbean Newspapers, 1718-1876","5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",off campus
freshman,Healthcare Administration Database (ProQuest),"2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering",on campus
graduate,CINAHL Plus,"5503,CRIMINOLOGY,Social Science",on campus
sophomore,University of Washington Music Library Digital Scores Collection,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
senior,AAPG Datapages,"4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science",on campus
graduate,SCOPUS,"2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education",off campus
faculty,American Indian Histories and Cultures ,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",on campus
doctorate,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts",on campus
sophomore,Agricultural &amp;amp; Environmental Science,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",off campus
doctorate,PsychiatryOnline,"5005,GEOSCIENCES,Physical Sciences",off campus
sophomore,ASTM Compass,"2304,ELEMENTARY EDUCATION,Education",off campus
sophomore,Migration to New Worlds,"5404,SOCIAL WORK,Psychology & Social Work",off campus
freshman,Making of America Journals (Cornell),"2414,MECHANICAL ENGINEERING,Engineering",on campus
